P,PET,Qobs,Qsim
0.0000,3.0800,0.3190,0.250
0.0000,3.0700,0.3090,0.248
0.0000,3.0600,0.3090,0.245
0.0000,3.0400,0.2910,0.243
0.0000,3.0300,0.2860,0.240
0.0000,3.0600,0.2860,0.238
3.5000,3.0500,0.2870,0.236
1.5000,3.0300,0.2940,0.234
0.0000,3.0100,0.3020,0.232
0.0000,2.9800,0.3090,0.229
0.0000,2.9500,0.3070,0.227
0.0000,2.9200,0.3040,0.225
0.0000,2.8900,0.3010,0.223
0.0000,2.8600,0.2970,0.221
0.0000,2.8200,0.2940,0.219
0.0000,2.7800,0.2910,0.217
0.0000,2.6700,0.2870,0.215
0.0000,2.6300,0.2840,0.214
0.0000,2.5900,0.2810,0.212
0.0000,2.5500,0.2770,0.210
0.0000,2.5100,0.2740,0.208
0.0000,2.4700,0.2720,0.207
0.0000,2.4400,0.2690,0.205
0.0000,2.4000,0.2660,0.203
0.2000,2.3600,0.2440,0.202
0.0000,2.3300,0.2430,0.200
0.0000,2.3100,0.2430,0.199
0.0000,2.2800,0.2430,0.197
0.0000,2.2400,0.2430,0.196
0.0000,2.2100,0.2430,0.194
1.1000,2.1700,0.2430,0.193
0.7000,2.1400,0.2290,0.191
0.0000,2.1000,0.1990,0.190
0.2000,2.0700,0.1990,0.189
0.0000,2.0300,0.1990,0.187
0.0000,2.0000,0.1990,0.186
1.7000,1.9600,0.1990,0.185
2.0000,1.9200,0.1990,0.184
1.5000,1.8800,0.1990,0.182
13.2000,1.8500,0.2090,0.186
9.7000,1.8100,0.3170,0.203
0.2000,1.7800,0.3110,0.206
13.2000,1.7400,0.2640,0.204
1.2000,1.7100,0.5250,0.224
6.2000,1.6700,0.5250,0.212
1.5000,1.6300,0.4150,0.216
0.0000,1.5800,0.3560,0.206
0.0000,1.5500,0.3210,0.201
0.5000,1.5100,0.3070,0.199
0.0000,1.4800,0.3040,0.198
3.1000,1.4500,0.3010,0.198
0.0000,1.4200,0.2970,0.202
1.4000,1.3900,0.2940,0.197
3.8000,1.3600,0.2910,0.197
1.7000,1.3400,0.2890,0.204
10.4000,1.3100,0.3070,0.212
1.4000,1.3200,0.3590,0.241
4.0000,1.2900,0.3790,0.223
9.6000,1.2600,0.9840,0.240
11.3000,1.2400,1.0070,0.295
0.0000,1.2100,0.7310,0.324
1.4000,1.1800,0.5520,0.276
2.5000,1.1500,0.4950,0.263
8.5000,1.1200,0.4950,0.290
0.0000,1.0900,0.4790,0.335
14.1000,1.0500,0.5620,0.346
5.8000,0.9700,1.2730,0.465
0.0000,0.9300,0.7310,0.449
0.0000,0.9000,0.5280,0.389
0.0000,0.8700,0.4620,0.371
0.0000,0.8500,0.4390,0.365
0.0000,0.8200,0.4190,0.360
2.1000,0.8000,0.3990,0.361
1.7000,0.7800,0.3990,0.373
14.8000,0.7600,0.4350,0.442
1.0000,0.7400,1.4620,0.601
12.7000,0.7300,0.8170,0.591
9.5000,0.7400,1.5950,0.800
1.0000,0.7300,1.8110,0.874
14.1000,0.7100,1.1200,0.890
6.2000,0.7000,1.7110,1.217
6.0000,0.6900,1.9270,1.299
0.2000,0.6800,1.7110,1.305
1.0000,0.6700,1.1700,1.177
3.4000,0.6700,0.9500,1.144
1.9000,0.6600,0.9740,1.191
0.7000,0.6500,0.9300,1.151
14.3000,0.6600,0.9970,1.292
15.1000,0.6500,2.5260,2.036
6.2000,0.6400,3.6550,2.643
1.4000,0.6400,2.5420,2.548
2.5000,0.6300,1.8280,2.265
5.2000,0.6300,1.5780,2.245
4.9000,0.6200,1.6950,2.409
7.5000,0.6200,2.0270,2.607
9.6000,0.6100,3.0410,3.052
0.0000,0.6000,3.0240,3.284
0.0000,0.5900,2.0270,2.762
0.0000,0.5900,1.6950,2.397
0.0000,0.5800,1.5680,2.165
0.0000,0.5800,1.5020,1.980
0.5000,0.5700,1.4420,1.829
0.0000,0.5700,1.3920,1.704
